Wood.density,Root.depth,Leaf.N,Leaf.P,Stem.diameter,Bark.thickness,Seed.dry.mass,Leaf.K,Stomatal.conduct.,Leaf.thickness,Leaf.density,Leaf.Vcmax,Conduit.diam.,Crown.diameter,Crown.height,Tree.height,Leaf.area,Specific.leaf.area
0,0.26615656960563966,-0.16170362566457794,-0.30532929500200484,-0.00498866552510049,0.047639234080711336,0.1468130545230537,-0.2646340753859478,0.03531721194028554,0.08412747373073992,0.43088624077834886,-0.07248596175452907,-0.009681021484699641,0.07799197859319568,0.02088196658746008,-0.0749710242383614,-0.03367649302987657,-0.22093041125805046
0.26615656960563966,0,-0.06901841748450845,-0.2636168539392975,-0.0069647655769435836,0.044119468542456276,0.17382372415988798,-0.22696314741131945,-0.14259997588821446,0.1089549116445677,0.19576921839140182,-0.07940199348283328,0.02436593936113228,0.06384305091050188,-0.05549575648952908,-0.005856573663367189,-0.05925233034530697,-0.199787111193791
-0.16170362566457794,-0.06901841748450845,0,0.5231071375171499,-0.14085200309443266,-0.18205472672108491,0.06675566229478685,0.4181480371367765,0.3188620578414348,-0.5075350231657938,-0.28013554870031215,0.4832140229840716,0.47453856568175556,0.21127771984005353,0.04996942606520937,0.11322177244792168,0.3416650186056866,0.552158383410874
-0.30532929500200484,-0.2636168539392975,0.5231071375171499,0,0.00489110625039552,-0.01870051960507393,-0.10292446476806545,0.7142173619574835,0.21737403674607103,-0.41522452337046045,-0.3059474549353737,0.506436632517784,0.29036549863343425,-0.2106888846090844,-0.1726059924272959,-0.1367123145183066,0.0998317113601001,0.4521269562788193
-0.00498866552510049,-0.0069647655769435836,-0.14085200309443266,0.00489110625039552,0,0.5135320905226725,-0.10782437905173219,-0.007864579966580212,0.0918254501573581,0.28813947827857395,0.08256474903061986,0.12003034068001005,0.10810491358821446,-0.028164089664376116,0.14289583182478158,0.14048398367612572,-0.052202893725948316,-0.2932914608007029
0.047639234080711336,0.044119468542456276,-0.18205472672108491,-0.01870051960507393,0.5135320905226725,0,-0.04981766754622265,-0.07109760445865916,0.18109491383709295,0.34570692003886117,0.25705833617026336,0.14549538615463609,0.23921288818003647,-0.05966190745503212,0.025796445762944917,0.029183573020069017,0.10844812702453353,-0.32420452882474177
0.1468130545230537,0.17382372415988798,0.06675566229478685,-0.10292446476806545,-0.10782437905173219,-0.04981766754622265,0,-0.21929836976601538,-0.047408369569071566,-0.10433914560592486,0.21580505912038198,-0.1493032401320543,0.12186723860533351,0.29727251638562224,0.22903921718743714,0.2752004558561553,0.1315608246577883,0.008181357003931675
-0.2646340753859478,-0.22696314741131945,0.4181480371367765,0.7142173619574835,-0.007864579966580212,-0.07109760445865916,-0.21929836976601538,0,0.2449783389130479,-0.3130815370264081,-0.30658836533448597,0.5579092477949538,0.25901546243838774,-0.4097966993886143,-0.42684398494770837,-0.35608579358160036,0.0443374100775168,0.38095197013992876
0.03531721194028554,-0.14259997588821446,0.3188620578414348,0.21737403674607103,0.0918254501573581,0.18109491383709295,-0.047408369569071566,0.2449783389130479,0,-0.10416086129141928,0.0013377648476805705,0.5093061038075897,0.5895291330341635,0.13523721769502559,-0.047310808077051625,0.09754059667722849,0.44916214355089096,0.1361760780871865
0.08412747373073992,0.1089549116445677,-0.5075350231657938,-0.41522452337046045,0.28813947827857395,0.34570692003886117,-0.10433914560592486,-0.3130815370264081,-0.10416086129141928,0,0.22540967782279342,-0.40595394045373345,-0.25608437798831757,-0.10345355438254589,0.0394672078833125,-0.062497958948617066,-0.3585799321447068,-0.8205063035944841
0.43088624077834886,0.19576921839140182,-0.28013554870031215,-0.3059474549353737,0.08256474903061986,0.25705833617026336,0.21580505912038198,-0.30658836533448597,0.0013377648476805705,0.22540967782279342,0,-0.10325993964885598,0.060273599176395104,0.04724644707321991,0.03377324063324769,-0.010009871860621928,0.01770675837785419,-0.4798577762790923
-0.07248596175452907,-0.07940199348283328,0.4832140229840716,0.506436632517784,0.12003034068001005,0.14549538615463609,-0.1493032401320543,0.5579092477949538,0.5093061038075897,-0.40595394045373345,-0.10325993964885598,0,0.6389827127809355,-0.146535445592004,-0.3104740870515978,-0.2108404156231618,0.45461443855265693,0.4356551543996906
-0.009681021484699641,0.02436593936113228,0.47453856568175556,0.29036549863343425,0.10810491358821446,0.23921288818003647,0.12186723860533351,0.25901546243838774,0.5895291330341635,-0.25608437798831757,0.060273599176395104,0.6389827127809355,0,0.21296910139265568,-0.056114399450281634,0.10068125649780396,0.6198189060352146,0.2500075776198866
0.07799197859319568,0.06384305091050188,0.21127771984005353,-0.2106888846090844,-0.028164089664376116,-0.05966190745503212,0.29727251638562224,-0.4097966993886143,0.13523721769502559,-0.10345355438254589,0.04724644707321991,-0.146535445592004,0.21296910139265568,0,0.7792748749468845,0.7003732984409182,0.3728380481067857,0.0823940859073045
0.02088196658746008,-0.05549575648952908,0.04996942606520937,-0.1726059924272959,0.14289583182478158,0.025796445762944917,0.22903921718743714,-0.42684398494770837,-0.047310808077051625,0.0394672078833125,0.03377324063324769,-0.3104740870515978,-0.056114399450281634,0.7792748749468845,0,0.6412243295738437,0.07876258408581154,-0.08309053888433117
-0.0749710242383614,-0.005856573663367189,0.11322177244792168,-0.1367123145183066,0.14048398367612572,0.029183573020069017,0.2752004558561553,-0.35608579358160036,0.09754059667722849,-0.062497958948617066,-0.010009871860621928,-0.2108404156231618,0.10068125649780396,0.7003732984409182,0.6412243295738437,0,0.258778889149059,0.06157905787000915
-0.03367649302987657,-0.05925233034530697,0.3416650186056866,0.0998317113601001,-0.052202893725948316,0.10844812702453353,0.1315608246577883,0.0443374100775168,0.44916214355089096,-0.3585799321447068,0.01770675837785419,0.45461443855265693,0.6198189060352146,0.3728380481067857,0.07876258408581154,0.258778889149059,0,0.3738544583322325
-0.22093041125805046,-0.199787111193791,0.552158383410874,0.4521269562788193,-0.2932914608007029,-0.32420452882474177,0.008181357003931675,0.38095197013992876,0.1361760780871865,-0.8205063035944841,-0.4798577762790923,0.4356551543996906,0.2500075776198866,0.0823940859073045,-0.08309053888433117,0.06157905787000915,0.3738544583322325,0
